shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,snr,luminosity_distance,chi_eff,chirp_mass_source,redshift
GW230904_051013-v2,1377839431.1,10.6,7.1,17.9,17.1,10.5,1030.0,0.05,7.53,0.2
GW230904_152545-v2,1377876363.2,,,,,9.2,,,,
GW230911_195324-v2,1378497222.2,33.9,21.6,55.5,53.1,11.1,1350.0,-0.02,23.2,0.26
GW230914_111401-v2,1378725259.7,60.0,37.0,96.0,91.2,17.2,2700.0,0.12,39.8,0.47
GW230919_215712-v2,1379195850.0,27.3,21.4,49.1,46.5,16.8,1330.0,0.18,21.0,0.25
GW230920_064709-v2,1379227647.3,,,,,9.5,,,,
GW230920_071124-v2,1379229102.7,32.4,23.8,56.4,53.8,11.1,2900.0,,23.9,0.49
GW230922_020344-v2,1379383442.9,39.3,29.2,68.7,65.4,13.4,1640.0,0.03,29.2,0.31
GW230922_040658-v2,1379390836.1,76.0,51.0,125.0,119.0,12.5,6500.0,0.31,52.0,0.96
GW230924_124453-v2,1379594711.8,28.8,23.2,51.8,49.4,13.5,2400.0,0.02,22.3,0.42
GW230925_143957-v2,1379688015.5,,,,,8.0,,,,
GW230927_043729-v2,1379824667.1,35.0,27.1,61.9,59.0,12.1,3200.0,0.01,26.5,0.55
GW230927_153832-v2,1379864330.9,21.7,16.6,38.3,36.5,20.3,1190.0,0.03,16.37,0.23
GW230928_215827-v2,1379973525.1,54.0,29.0,83.0,79.0,10.5,4900.0,0.4,33.6,0.77
GW230930_110730-v2,1380107268.4,34.5,24.4,59.0,56.3,9.0,4900.0,0.02,24.8,0.76
GW231001_140220-v2,1380204158.7,76.0,41.0,116.0,111.0,11.5,4400.0,-0.04,46.6,0.7
GW231002_143916-v2,1380292774.7,,,,,9.4,,,,
GW231004_232346-v2,1380497044.3,64.0,35.0,99.0,96.0,8.9,4400.0,-0.04,40.0,0.7
GW231005_021030-v2,1380507049.0,84.0,50.0,133.0,127.0,10.4,6300.0,0.1,54.0,0.93
GW231005_091549-v2,1380532567.5,28.8,21.2,50.2,48.0,11.0,3800.0,-0.03,21.3,0.62
GW231005_144455-v2,1380552313.4,,,,,7.3,,,,
GW231007_134720-v1,1380721658.8,,,,,8.1,,,,
GW231008_142521-v2,1380810339.8,45.0,25.6,71.0,69.0,9.3,3000.0,-0.01,29.0,0.51
GW231013_135504-v2,1381240522.4,,,,,8.4,,,,
GW231014_040532-v2,1381291551.0,20.6,14.7,35.6,33.8,9.0,2300.0,0.18,15.0,0.42
GW231018_233037-v2,1381707055.0,11.6,7.3,19.0,18.2,9.1,1540.0,0.01,7.9,0.29
GW231020_142947-v2,1381847405.6,12.0,7.4,19.8,18.8,12.0,1230.0,0.14,8.07,0.24
GW231024_023603-v1,1382150181.2,,,,,8.3,,,,
GW231025_142306-v1,1382279004.1,,,,,8.3,,,,
GW231026_130704-v2,1382360842.2,34.0,20.8,55.0,53.0,8.3,4400.0,0.03,22.8,0.71
GW231028_153006-v2,1382542224.3,94.0,59.0,153.0,144.0,22.4,4200.0,0.45,63.0,0.68
GW231029_111508-v2,1382613326.8,65.0,42.0,106.0,101.0,10.8,3100.0,0.14,44.4,0.53
GW231102_052214-v2,1382937752.4,,,,,7.9,,,,
GW231102_071736-v2,1382944674.4,61.0,42.0,102.0,98.0,15.6,3800.0,0.06,43.3,0.63
GW231102_232433-v2,1383002691.5,,,,,7.6,,,,
GW231104_133418-v2,1383140076.9,12.2,8.6,21.0,20.0,11.8,1470.0,0.14,8.84,0.28
GW231108_125142-v2,1383483120.5,23.2,17.4,40.6,38.9,12.6,2050.0,-0.08,17.3,0.37
GW231110_040320-v2,1383624218.2,19.4,12.6,32.2,30.6,11.5,1890.0,0.17,13.4,0.35
GW231113_062050-v1,1383891668.9,,,,,8.5,,,,
GW231113_112825-v1,1383910123.5,,,,,7.8,,,,
GW231113_122623-v2,1383913601.9,39.8,26.4,67.0,63.0,8.6,3400.0,0.33,27.9,0.56
GW231113_150041-v2,1383922859.4,56.0,29.0,85.0,82.0,8.7,5200.0,0.04,34.0,0.8
GW231113_200417-v2,1383941075.9,11.6,7.4,19.2,18.3,10.5,1160.0,0.13,8.0,0.23
GW231114_043211-v2,1383971549.2,22.8,8.2,31.1,30.1,10.0,1390.0,0.08,11.6,0.26
GW231118_005626-v2,1384304204.8,20.0,10.8,31.0,29.4,10.7,2190.0,0.38,12.6,0.39
GW231118_071402-v2,1384326860.2,43.0,29.0,72.0,69.0,9.2,4300.0,0.12,30.3,0.69
GW231118_090602-v2,1384333580.0,12.9,7.4,20.6,19.6,11.0,1360.0,0.08,8.36,0.26
GW231119_075248-v2,1384415586.1,49.0,33.0,82.0,79.0,8.3,6700.0,,34.5,0.99
GW231120_022103-v2,1384482081.0,,,,,10.0,,,,
GW231123_135430-v3,1384782888.7,137.0,101.0,236.0,222.0,21.8,2200.0,0.32,101.0,0.4
GW231126_010928-v2,1384996186.3,,,,,9.1,,,,
GW231127_061546-v1,1385100964.5,,,,,8.0,,,,
GW231127_165300-v2,1385139198.9,45.0,28.0,74.0,71.0,9.9,4500.0,0.05,30.4,0.71
GW231129_081745-v2,1385281083.6,45.0,23.8,69.0,66.0,9.4,3800.0,0.03,27.8,0.62
GW231204_090648-v2,1385716026.9,,,,,8.4,,,,
GW231206_010629-v2,1385860007.2,,,,,9.7,,,,
GW231206_233134-v2,1385940712.5,35.6,28.2,63.5,60.6,12.8,3200.0,-0.08,27.2,0.54
GW231206_233901-v2,1385941159.5,37.6,28.5,66.0,63.1,21.9,1490.0,-0.05,28.2,0.28
GW231213_111417-v2,1386501275.9,35.6,27.2,62.6,59.6,10.4,4000.0,0.06,26.7,0.65
GW231220_173406-v2,1387128864.2,,,,,7.9,,,,
GW231221_135041-v2,1387201859.3,47.0,29.0,76.0,73.0,10.0,4600.0,0.01,31.0,0.72
GW231223_032836-v2,1387337334.1,46.0,31.0,76.0,73.0,10.2,4200.0,-0.16,31.9,0.67
GW231223_075055-v2,1387353073.3,11.9,6.8,19.0,18.1,9.4,970.0,0.07,7.8,0.19
GW231223_202619-v2,1387398397.0,11.1,8.3,19.6,18.7,10.1,890.0,0.1,8.35,0.18
GW231224_024321-v2,1387421020.0,9.3,7.31,16.66,15.89,14.0,950.0,-0.01,7.13,0.19
GW231226_101520-v2,1387620938.3,40.2,35.1,75.0,71.6,34.7,1180.0,-0.08,32.5,0.23
GW231230_170116-v2,1387990895.0,53.0,35.0,89.0,86.0,8.2,5700.0,-0.18,37.0,0.87
GW231231_120147-v2,1388059325.6,,,,,11.3,,,,
GW231231_154016-v2,1388072434.7,22.5,17.2,39.9,38.1,13.4,1070.0,-0.03,17.1,0.21
GW240104_164932-v2,1388422190.6,42.3,32.2,74.3,70.7,14.8,1910.0,0.09,31.8,0.35
GW240105_151143-v2,1388502721.2,,,,,25.9,,,,
GW240107_013215-v2,1388626353.7,59.0,33.0,92.0,87.0,9.6,5800.0,0.32,36.7,0.88
GW240109_050431-v2,1388811889.8,28.7,18.1,47.1,45.2,10.4,1500.0,-0.07,19.7,0.28
GW240406_062847-v1,1396420145.9,,,,,11.3,,,,
GW240407_040938-v1,1396498196.4,,,,,8.5,,,,
GW240407_061416-v1,1396505674.0,,,,,8.8,,,,
GW240407_214946-v1,1396561804.2,,,,,7.5,,,,
GW240408_081753-v1,1396599491.7,,,,,8.3,,,,
GW240411_074140-v1,1396856518.6,,,,,8.2,,,,
GW240413_022019-v1,1397010037.8,7.9,5.57,13.56,12.92,18.1,570.0,0.07,5.74,0.12
GW240414_054515-v1,1397108733.2,38.8,25.9,65.0,62.2,11.2,1530.0,0.03,27.1,0.29
GW240419_041206-v1,1397535144.5,,,,,9.1,,,,
GW240420_175625-v1,1397671003.5,34.6,23.8,58.6,56.0,10.0,2000.0,,24.7,0.37
GW240421_052935-v1,1397712593.7,,,,,8.5,,,,
GW240426_031451-v1,1398136510.0,52.0,36.0,88.0,84.0,10.3,4000.0,-0.05,37.1,0.65
GW240426_085802-v1,1398157100.9,,,,,8.2,,,,
GW240428_225440-v1,1398380098.1,19.8,14.7,34.6,33.0,15.6,840.0,0.03,14.72,0.17
GW240430_093517-v1,1398504935.4,,,,,8.7,,,,
GW240501_033534-v1,1398569752.9,38.6,27.7,66.0,63.1,10.6,4700.0,0.04,28.0,0.74
GW240505_133552-v1,1398951370.6,31.0,23.1,54.0,51.8,9.4,4700.0,-0.13,23.0,0.74
GW240507_041632-v1,1399090610.4,31.3,8.5,39.9,38.9,10.2,1450.0,0.01,13.8,0.28
GW240509_102351-v1,1399285449.9,,,,,8.2,,,,
GW240511_031507-v1,1399432526.0,40.5,32.2,72.6,69.1,16.3,1990.0,0.05,31.1,0.36
GW240512_024139-v1,1399516917.1,12.6,8.0,20.7,19.7,11.6,1170.0,0.14,8.62,0.23
GW240512_051606-v1,1399526185.0,,,,,9.4,,,,
GW240513_183302-v1,1399660400.9,24.4,16.9,41.4,39.4,14.5,2250.0,0.14,17.4,0.4
GW240514_121713-v1,1399724251.7,46.8,36.7,82.7,78.9,16.9,2590.0,0.01,35.4,0.45
GW240515_005301-v1,1399769599.1,37.1,18.5,56.3,53.2,12.8,3800.0,0.47,22.4,0.63
GW240516_041939-v1,1399868397.1,,,,,9.0,,,,
GW240519_012815-v1,1400117314.0,65.0,39.0,104.0,100.0,10.6,1740.0,-0.04,43.1,0.32
GW240520_213616-v1,1400276195.0,11.4,8.0,19.6,18.7,11.9,1400.0,,8.28,0.27
GW240525_031210-v1,1400641948.6,31.1,21.4,52.8,50.2,9.1,4500.0,0.17,22.1,0.72
GW240525_201644-v1,1400703422.1,,,,,9.0,,,,
GW240526_093944-v1,1400751602.7,14.5,8.4,23.2,22.1,9.7,1940.0,0.22,9.5,0.35
